Company,Revenue (in millions),Profit (in millions)
1955,1,Amoco,1738.0,13411.8
1955,2,DuPont,29729.4,816.5
1955,3,General Electric,28281.6,5488.0
1955,4,Raytheon,29668.7,-
1955,5,Eastman Kodak,35057.9,18930.3
1955,6,Bank of America,5559.4,3598.9
1955,7,Walt Disney,40452.8,19327.9
1955,8,Morgan Stanley,4400.6,17136.3
1955,9,Wells Fargo,29078.9,697.5
1955,10,Dell,49268.5,4503.2
1955,11,UnitedHealth Group,31966.4,237.7
1955,12,McDonald's,35240.1,10874.5
1955,13,Johnson & Johnson,8588.4,11000.0
1955,14,Microsoft,34388.4,726.2
1955,15,Esmark,40349.8,17828.4
1955,16,Amazon,11025.0,11071.3
1955,17,PepsiCo,13611.6,1568.5
1955,18,General Dynamics,44942.2,19938.4
1955,19,Wendy's International,24929.0,-1179.0
1955,20,Eastman Kodak,39707.9,4540.5
1955,21,Merck,26691.2,-4713.0
1955,22,Amoco,34244.7,11024.0
1955,23,Amoco,15028.3,-
1955,24,Walt Disney,48608.5,-2339.7
1955,25,Cisco Systems,42162.6,4347.8
1955,26,Eastman Kodak,27199.3,-4985.7
1955,27,Google,24686.0,19633.0
1955,28,Oracle,12352.9,-3031.1
1955,29,Eli Lilly,40893.2,-1856.0
1955,30,Bristol-Myers Squibb,47369.0,10164.8
1955,31,Intel,46481.2,12823.7
1955,32,AIG,49759.9,7939.4
1955,33,Shell Oil,12771.3,8848.0
1955,34,Microsoft,855.9,-3315.0
1955,35,Esmark,43052.0,11724.4
1955,36,Intel,27192.1,9405.3
1955,37,Johnson & Johnson,39338.7,-2576.7
1955,38,Lockheed Martin,18037.7,-3645.7
1955,39,Chrysler,3500.3,-2268.3
1955,40,Goodyear,9915.3,1963.6
1955,41,Johnson & Johnson,43787.1,16399.2
1955,42,Chrysler,3004.1,19224.9
1955,43,Walmart,8732.4,5026.0
1955,44,Mobil,8649.5,N.A.
1955,45,American Express,13627.6,5575.2
1955,46,Eli Lilly,8162.4,9479.5
1955,47,Mobil,37524.8,7571.3
1955,48,Cincinnati Financial,8292.9,-354.4
1955,49,Texaco,33923.0,17257.2
1955,50,Johnson & Johnson,29156.5,11434.3
1956,1,Kindred Healthcare,16160.3,2854.6
1956,2,Walt Disney,20091.4,2904.4
1956,3,Chevron,961.1,-2500.5
1956,4,Intel,25541.3,-3280.2
1956,5,Johnson & Johnson,18791.6,12588.5
1956,6,Cincinnati Financial,887.2,11584.7
1956,7,Coca-Cola,13591.1,-1113.8
1956,8,Hewlett-Packard,30439.1,10855.9
1956,9,Walt Disney,25517.7,-3730.0
1956,10,General Dynamics,41552.7,-1729.5
1956,11,Walt Disney,8498.3,9022.7
1956,12,Amoco,4224.6,8639.8
1956,13,Goldman Sachs,29334.2,2706.5
1956,14,Ford Motor,44996.8,-2430.2
1956,15,MetLife,48704.9,918.4
1956,16,Eastman Kodak,48822.2,-4380.3
1956,17,Berkshire Hathaway,39228.1,13376.4
1956,18,Johnson & Johnson,13706.9,16804.2
1956,19,Bristol-Myers Squibb,11510.5,2629.8
1956,20,Apple,11534.7,1965.1
1956,21,Texaco,48361.0,4992.0
1956,22,Berkshire Hathaway,46992.2,-535.8
1956,23,Walt Disney,2393.7,14660.7
1956,24,Lockheed Martin,30507.3,9414.7
1956,25,Pfizer,2697.1,15162.8
1956,26,Dow Chemical,18529.0,3255.0
1956,27,Amazon,33337.7,7678.1
1956,28,MetLife,16646.1,-204.0
1956,29,Morgan Stanley,34027.2,2523.7
1956,30,General Motors,15541.8,10166.5
1956,31,Google,23516.9,6829.7
1956,32,Xerox,33113.1,10481.5
1956,33,DuPont,41012.0,616.0
1956,34,Dow Chemical,7794.0,10281.8
1956,35,Chevron,23043.1,12958.6
1956,36,American Express,24971.7,-4861.4
1956,37,Gulf Oil,39031.8,12397.8
1956,38,Merck,2985.8,6411.5
1956,39,Merck,33545.1,18751.0
1956,40,Northrop Grumman,30826.3,15764.2
1956,41,Raytheon,44911.8,1479.8
1956,42,Johnson & Johnson,42073.2,7114.9
1956,43,Walmart,14092.6,1792.9
1956,44,Amazon,44704.8,4575.9
1956,45,United Technologies,35467.7,8565.3
1956,46,Prudential Financial,3582.2,14244.9
1956,47,U.S. Steel,42908.2,-4852.6
1956,48,JPMorgan Chase,15281.3,15893.2
1956,49,Microsoft,24667.4,4721.4
1956,50,AIG,36347.0,19518.0
1957,1,General Electric,45393.0,-2901.3
1957,2,General Dynamics,7217.1,4477.6
1957,3,Intel,23007.6,1956.4
1957,4,Prudential Financial,12987.4,8485.5
1957,5,Citigroup,11599.0,-3993.5
1957,6,General Electric,47505.8,-1190.4
1957,7,Procter & Gamble,23941.3,6625.8
1957,8,Pfizer,38461.5,13698.1
1957,9,Amoco,39000.7,9467.1
1957,10,Oracle,29001.9,18536.8
1957,11,Dow Chemical,4261.8,-2452.5
1957,12,Cisco Systems,42589.5,19596.1
1957,13,Ford Motor,17686.6,7649.0
1957,14,Bank of America,1126.3,5838.1
1957,15,Wells Fargo,31961.5,5887.2
1957,16,Kindred Healthcare,48290.9,8454.3
1957,17,Abbott Laboratories,23511.3,3057.6
1957,18,Johnson & Johnson,41621.2,1096.6
1957,19,Merck,28707.6,7357.7
1957,20,Google,9501.1,3508.5
1957,21,Nike,28011.7,1033.9
1957,22,MetLife,24684.6,11147.6
1957,23,Eli Lilly,22684.6,N.A.
1957,24,Dell,11469.0,9538.9
1957,25,Bristol-Myers Squibb,27896.9,8759.7
1957,26,JPMorgan Chase,35291.3,-1983.6
1957,27,Goodyear,16119.6,12254.1
1957,28,Goodyear,11211.0,19415.2
1957,29,Cincinnati Financial,30041.1,2406.2
1957,30,Wells Fargo,9382.4,N.A.
1957,31,Procter & Gamble,14078.4,12435.4
1957,32,Procter & Gamble,32074.5,-4693.4
1957,33,Hewlett-Packard,23735.1,-3715.6
1957,34,Abbott Laboratories,6147.3,9425.5
1957,35,IBM,8010.5,-2870.5
1957,36,Johnson & Johnson,6363.4,14768.5
1957,37,Microsoft,38896.8,2433.8
1957,38,General Dynamics,15616.3,13502.2
1957,39,Motorola,31463.0,996.6
